Mine ID,Mine Name,Mine Status,Type of Mine,Street,City,State,Zip Code,Latitude,Longitude
2700243,"Galloway Trucking,  Inc.",Intermittent,Surface,12 ROUTE 125 - ROADSTONE DR,KINGSTON,New Hampshire,3848.0,42.865402275553,-71.090568872123
2700257,Michie Corporation Con-Agg Pit,Intermittent,Surface,449 FLANDERS RD,HENNIKER,New Hampshire,3242.0,43.16403325437,-71.805221495375
2700268,Glen Aggregates LLC,Intermittent,Surface,7 Gravel Lane,Glen,New Hampshire,3838.0,44.106566370681,-71.198004478098
2700271,Foster Materials Inc,Active,Surface,1778 OLD CONCORD ROAD,HENNIKER,New Hampshire,3242.0,43.177977490807,-71.757988064281
2700274,Hooksett N H Plant,Active,Surface,1500 Hooksett Road,Hooksett,New Hampshire,3106.0,43.076634936215,-71.457480055327
2700299,Portable Unit #1,Intermittent,Surface,719 Concord Stage Road,WEARE,New Hampshire,3281.0,43.138457264315,-71.704401305307
2700310,Mathewson Pit,Active,Surface,80 SHARON RD,PETERBOROUGH,New Hampshire,3458.0,42.848562810822,-71.963326528585
2700326,HENNIKER PIT & MILL PORTABLE CRU,Intermittent,Surface,44 Bradford Road,Henniker,New Hampshire,3242.0,43.190279163212,-71.828361316756
2700328,Brownie's Sand & Gravel Inc,Intermittent,Surface,35 George Moody Rd,Weare,New Hampshire,3281.0,43.089044235348,-71.727868620662
2700333,Portable Plant 904,Active,Surface,58 BALD MOUNTAIN ROAD,Newport,New Hampshire,3773.0,43.42066121652,-72.253884016352
2700334,Portable Plant #1,Intermittent,Surface,405 Daniel Webster Highway,Meredith,New Hampshire,3253.0,43.670019269032,-71.502692472824
2700354,PORTABLE CRUSHER,TempIdle,Surface,516 US Route 3,Columbia,New Hampshire,3590.0,44.669425212314,-71.570717980137
2700357,Crusher 3,Intermittent,Surface,Off Rt 16 ,Madison,New Hampshire,3849.0,43.899316120056,-71.145785303431
2700365,Cedar Rapids Jaw Crusher,Intermittent,Surface,200 Suncook Valley Rd,Chichester ,New Hampshire,3258.0,43.283216356498,-71.361763922187
2700369,Hillside Gravel,Intermittent,Surface,716 WHITEFIELD RD,DALTON,New Hampshire,3598.0,44.407220002888,-71.629976987636
2700381,C & C PORTABLE PLANT,Active,Surface,40 AMOS FORTUNE RD,JAFFREY,New Hampshire,3452.0,42.828626075028,-72.023405612575
2700384,CR04 Metso Jaw Crusher,Active,Surface,159 Barnstead Rd.,Pittsfield,New Hampshire,3263.0,43.315029288672,-71.315649905023
2700387,Komatsu Portable ,TempIdle,Surface,93 MAIN ST,EXETER,New Hampshire,3833.0,42.982893946173,-70.958298517718
2700394,Mt William Quarry,Intermittent,Surface,1225 River Rd,Weare,New Hampshire,3281.0,43.098011644828,-71.688317921056
2700402,Conkey's Bog Road Pit,Intermittent,Surface,475 BOG ROAD,ENFIELD,New Hampshire,3749.0,43.546578977146,-72.10037197329
2700411,C J Bolton Portable Crusher #2,TempIdle,Surface,1225 River Rd. ,Weare ,New Hampshire,3281.0,43.098011644828,-71.688317921056
2700416,Axtec #1,Intermittent,Surface,15 Grant Rd,Colebrook,New Hampshire,3576.0,44.862551217207,-71.54223517601
2700417,Extec E-7 Portable Screen,Intermittent,Surface,244 Main Street,Franconia,New Hampshire,3580.0,44.228745822665,-71.751092069846
2700422,Portable Plant #1,Intermittent,Surface,366 N. Main Street,New Hampton,New Hampshire,3256.0,43.59594970631,-71.629698917147
2700425,Bruce Robinson Company,Active,Surface,268 Chinook Trail,Tamworth,New Hampshire,3886.0,43.865761785842,-71.267121866641
2700429,Astec Track Screen,Intermittent,Surface,"405 Daniel Webster Highway, PO Box 155",Meredith,New Hampshire,3253.0,43.670019269032,-71.502692472824
2700434,Portable Crusher Crew,Active,Surface,59 Jeffrey Road,Charlestown,New Hampshire,3603.0,43.304218549876,-72.392445621018
2700436,Aggregate Based Products,Active,Surface,1599 Mt. Eustis Rd,Littleton,New Hampshire,3561.0,44.27657482697,-71.81113961345
2700437,Hartl-Model PC1265J-Portable Crusher,Intermittent,Surface,244 Main Street,Franconia,New Hampshire,3580.0,44.228745822665,-71.751092069846
2700443,Shannon Road Pit,Intermittent,Surface,102 Shannon Rd.,Salem,New Hampshire,3079.0,42.816044847364,-71.19182779678
2700444,New Boston Sand & Stone,Intermittent,Surface,57 Parker Street,New Boston,New Hampshire,3070.0,43.016359603076,-71.648872686808
2700453,R&D Trucking Co.,Intermittent,Surface,274 Clough Park Road,Weare,New Hampshire,3281.0,43.091501949341,-71.655652541084
2700454,Cedar Rapids Track Crusher,TempIdle,Surface,200 Suncook Valley Rd,Chichester,New Hampshire,3258.0,43.283216356498,-71.361763922187
2700459,Unity Stone Quarry,Intermittent,Surface,1 Peck Road,Charlestown,New Hampshire,3603.0,43.271935757285,-72.282051975122
2700461,Clarke & Co. Earthworks Contractors,Active,Surface,254 Eagle Pond Road,Danbury,New Hampshire,3230.0,43.471670392669,-71.905169429453
2700466,Bennington Pit,Intermittent,Surface,200 Francestown Road,Bennington,New Hampshire,3442.0,43.007266208309,-71.906400698821
2700468,Stephen Mariano,Intermittent,Surface,200 Appleton Road,New Ipswich,New Hampshire,3071.0,42.769540793021,-71.86803601848
2700471,Metso Portable,Intermittent,Surface,93 Main Street,Exeter,New Hampshire,3833.0,42.982893946173,-70.958298517718
2700476,Woodstock Sand & Gravel,Intermittent,Surface,277 Daniel Webster Highway,No. Woodstock,New Hampshire,3262.0,44.013225425691,-71.68513717146
2700480,"D.L. Docko & Son, LLC",Intermittent,Surface,1090 First NH Turnpike,Northwood,New Hampshire,3261.0,43.22042103098,-71.226645464659
2700482,cedar rapids & telsmith,Intermittent,Surface,282 west rd,clarksville,New Hampshire,3592.0,45.005436217094,-71.452803553511
2700483,extec 3107,Intermittent,Surface,282 west rd,clarksville,New Hampshire,3592.0,45.005436217094,-71.452803553511
2700485,Fuzzy Brothers LLC,Intermittent,Surface,232 Cheney Hill Rd,Walpole,New Hampshire,3608.0,43.108674151998,-72.382278590719
2700487,Grafton Pit,Intermittent,Surface,US- 4 near 196 Main St,Gartfton,New Hampshire,3240.0,43.563212375929,-71.918650668187
2700489,ALTON PIT,Intermittent,Surface,398 Suncook Valley Road,Alton,New Hampshire,3809.0,43.427380240374,-71.208480317106
2700490,Plant # 2,Intermittent,Surface,232 Cheney Hill Rd,walpole,New Hampshire,3608.0,43.108674151998,-72.382278590719
2700491,Garland Pit,Active,Surface,96 Hill Road,Alstead,New Hampshire,3602.0,43.13811417096,-72.365668116978
2700493,Seacoast Sand & Stone LLC,Active,Surface,662 Main Street,Freemont,New Hampshire,3044.0,42.975922595711,-71.116670626095
2700497,On-Spec Sand & Gravel,Active,Surface,734 Clough Mill Road,Pembroke,New Hampshire,32763814.0,43.197215351455,-71.476156936422
2700508,Goodwin-Barsby,Intermittent,Surface,200 Suncook Valley Road,Chichester,New Hampshire,3258.0,43.283216356498,-71.361763922187
2700512,McCloskey R155 ,TempIdle,Surface,408 Mason Rd,Milford,New Hampshire,3055.0,42.814200528979,-71.698390853573
2700513,2005 S5 Crawler Screener 9475,Intermittent,Surface,282 West Road,Clarksville,New Hampshire,3592.0,45.005436217094,-71.452803553511
2700514,Sandvik QE 340 Portable Screen,Intermittent,Surface,653 ROUTE 25C,PIERMONT,New Hampshire,3779.0,43.999110713487,-72.008670138187
2700515,Portable Hewitt 1,Intermittent,Surface,13 page rd ,londonderry nh ,New Hampshire,3053.0,42.924537077311,-71.4044978397
2700516,Peterborough Pit,Intermittent,Surface,130 Old Sharon Road,Peterborough,New Hampshire,3458.0,42.855907079847,-71.95410576089
2700519,GMI Sand Pit,Active,Surface,451 Daniel Webster Highway,Boscawen,New Hampshire,3303.0,43.376667234846,-71.652593694976
2700520,PINE RIVER SAND AND GRAVEL,Intermittent,Surface,125 Duncan Lake Rd,Ossipee,New Hampshire,3864.0,43.714552067142,-71.08875599366
2700521,Seacoast Materials,TempIdle,Surface,130 Main Street,Hampstead,New Hampshire,3841.0,42.882102709566,-71.187577169813
2700522,Mountain Made Materials,Active,Surface,224 Hurricane Rd ,Belmont,New Hampshire,3220.0,43.461925264985,-71.498787696358
2700523,Metso ST2.8,Intermittent,Surface,1088 Portsmouth Ave,Greenland,New Hampshire,3840.0,43.036427337582,-70.862813148252
2700528,South danbury pit,Intermittent,Surface,1480 US Route 4,Danbury,New Hampshire,3230.0,43.482364435703,-71.886421940942
2700530,Portable Sand Screen Plant,Intermittent,Surface,9 NH RT 113,Conway,New Hampshire,3818.0,43.964378136997,-71.144911860587
2700531,Terex-Finley 1540C Portable Cone,Intermittent,Surface,244 Main street,FRANCONIA,New Hampshire,3580.0,44.228745822665,-71.751092069846
2700532,Portable Chieftain 1700 ,TempIdle,Surface,528 Route 106 ,Loudon ,New Hampshire,3307.0,43.326057452226,-71.477636433441
2700540,Don Wheeler Construction,Intermittent,Surface,2 Lyndeboro Rd,New Boston,New Hampshire,3070.0,42.961290827142,-71.69782567462
2700541,Nordberg CT 80,Intermittent,Surface,353 Liberty Hill Road,Henniker,New Hampshire,3242.0,43.184890075956,-71.845662933689
2700545,KPI 2650,Intermittent,Surface,662 Main Street,Fremont,New Hampshire,3044.0,42.975922595711,-71.116670626095
2700547,Lokotrack ST243 Ser #181540,Intermittent,Surface,214 Appleton RD,New Ipswich,New Hampshire,3071.0,42.770002272637,-71.868206590117
2700548,EXIT 43 LITTLETON QUARRY,Intermittent,Surface,786 West Main Street,Littleton,New Hampshire,3561.0,44.321030294048,-71.802494036959
2700549,Weare Farm,Intermittent,Surface,256 Clough Park Road,Weare,New Hampshire,3281.0,43.089999847693,-71.656904108785
2700550,Gilsum Pit,Intermittent,Surface,250 North Street,Jaffrey,New Hampshire,3452.0,42.83156409609,-72.024680799474
2700551,LT 105,Intermittent,Surface,353 Liberty Hill Rd,Henniker,New Hampshire,3242.0,43.184890075956,-71.845662933689
2700553,Loudon Sand and Gravel,Intermittent,Surface,15 North Village Road,Loudon,New Hampshire,3307.0,43.287287213421,-71.470051547611
2700558,Portable Plant # 2,Active,Surface,366 Main Street,New Hampton,New Hampshire,3256.0,43.59594970631,-71.629698917147
2700559,Granite Hill Materials & Recycling LLC,Intermittent,Surface,321 Route 27,Raymond,New Hampshire,3077.0,43.062618724945,-71.236354985427
2700560,Pike Industries Inc C1664,Intermittent,Surface,1648 Old Concord Rd,Henniker,New Hampshire,3242.0,43.176387341039,-71.761578900105
2700565,"Rindge Stone and Gravel, LLC",Intermittent,Surface,538 Old New Ipswich Road,Rindge,New Hampshire,3461.0,42.764726463613,-71.963408941463
2700569,Lawrence Sand and Gravel LLC,Intermittent,Surface,36 Fairground Rd,Winchester,New Hampshire,3470.0,42.768810239366,-72.364308709266
2800469,Riverline Aggregates,Active,Surface,454 River Road,Phillipsburg,New Jersey,8865.0,40.642739914679,-75.192397866382
2800470,Kenvil Pit and Mill,Active,Surface,50 Railroad Ave,Kenvil,New Jersey,7847.0,40.880716334849,-74.62578252005
2800480,"BRICK-WALL CORP., PLANT #2",Active,Surface,2215 West Lacey Road,Forked River,New Jersey,8731.0,39.889566558472,-74.302335598524
2800501,VAN ORDEN SAND AND GRAVEL,Active,Surface,589 WESTBROOK RD.,RINGWOOD,New Jersey,7456.0,41.080707670956,-74.322978806056
2800547,Jackson Plant,Active,Surface,1143 Toms River Rd,Jackson,New Jersey,8527.0,40.050245550166,-74.333628070788
2800549,Sahara Sand of Port Norris,Active,Surface,"2099 Dragston Road, PO Box 664",Port Norris,New Jersey,8349.0,39.25364352285,-75.065120542119
2800551,SAXTON FALLS SAND & GRAVEL ,Active,Surface,66 Waterloo Valley Road,Stanhope/Budd Lake,New Jersey,7874.0,40.915443683381,-74.753756157192
2800556,Tri-Borough Sand & Stone Plant Gibbsboro,Active,Surface,1236 Haddonfield- Berlin Rd,Gibbsboro,New Jersey,8026.0,39.845848455954,-74.973599298575
2800562,Harmony Sand & Gravel Inc Pl #1,Active,Surface,3189 Belvidere Rd,Phillipsburg,New Jersey,8865.0,40.77709314571,-75.104760923939
2800615,Berlin Plant,Active,Surface,368 New Brooklyn Road,Berlin,New Jersey,8009.0,39.753036829755,-74.927719537513
2800639,South State Inc Dredge & Plant,Active,Surface,202 Reeves Road,Bridgeton,New Jersey,8302.0,39.429210329114,-75.191341798326
2800756,"Stavola Beaver Run Quarry,Inc.",Active,Surface,300 Beaver Run Road,Lafayette,New Jersey,7848.0,41.152587227655,-74.6337363076
2800944,"JERSEY SAND SUPPLY, LLC",Active,Surface,560 Route 72,Barnegat,New Jersey,8005.0,39.793315360233,-74.368062287776
2800949,Diamond Sand & Gravel,Active,Facility,33 Demarest Road,Sparta,New Jersey,7871.0,41.068315830831,-74.664613793537
2800951,Oceanview Plant,Active,Surface,384 Woodbine-Oceanview Rd,Ocean View,New Jersey,8230.0,39.196068971411,-74.746767311579
2801005,Clayton Sand-Lacey Plant,Active,Surface,2011 West Lacey Road,Forked River,New Jersey,8731.0,39.885110171534,-74.288137489866
2801007,Newport Plant,Active,Surface,1101 Railroad Ave,Newport,New Jersey,8345.0,39.309175126139,-75.124960058928
2801010,Plant #4,Active,Surface,3765 Mayslanding Road,Vineland,New Jersey,8361.0,39.422229617173,-74.954516992793
2801012,Sahara Sand of Franklin,Active,Surface,"4459 Coles Mill Road, Route 538",Williamstown,New Jersey,8094.0,39.619593852545,-74.979105262312
2801014,Quinton Twp Pit,Active,Surface,322 Quinton-Marlboro Road,Quinton ,New Jersey,8079.0,39.527265576957,-75.372553755736
2801017,"NORTH CHURCH GRAVEL, INC.",Active,Surface,216 North Church St,Franklin,New Jersey,7416.0,41.129188606118,-74.602711758701
2801018,"Spartan Aggregates, LLC",Active,Surface,606 Houses Corner Road,Sparta,New Jersey,7871.0,41.086861040889,-74.634980758999
2801019,Cape Mining and Recycling LLC,Intermittent,Surface,560 Goshen Road,Cape May Court House,New Jersey,8210.0,39.099187490474,-74.833696322159
2801021,Mission Materials ,Active,Surface,10 Route 284,Wantage,New Jersey,7461.0,41.208377268971,-74.606313558097
2801031,Buck Pit,Intermittent,Surface,26 Pinehill Road,Millstone Township,New Jersey,8535.0,40.23266559438,-74.414399697175
2801035,Wantage Stone,Active,Surface,56 Blair Road ,Hamburg,New Jersey,7419.0,41.16328238721,-74.593226082944
2801049,MOJAVE MATERIALS,Active,Surface,850 Dennisville-Petersburg Rd,Woodbine,New Jersey,8270.0,39.246837351119,-74.743953602036
2900417,Ortega Pit,Active,Surface,7034 Hwy 70 North,Alamogordo,New Mexico,88310.0,32.971403789563,-105.97916680503
2900426,Tome Pit,Active,Surface,30 Kalama Avenue,Los Lunas,New Mexico,87031.0,34.689896396001,-106.72651608798
2901258,NM Crusher #1 (portable) ,Intermittent,Surface,1106 NM Hwy 516,Aztec,New Mexico,87410.0,36.826538417475,-108.006822788153
2901712,LOWDERMILK,Active,Surface,1302 N. Riverside Drive,Espanola,New Mexico,87532.0,35.988034520332,-106.060961158696
2901894,Tommy Blankenship Pit,Active,Surface,177 Griffin Road,La Luz,New Mexico,88337.0,32.992880395807,-105.964548258082
