Year,State Coverage,Region,Quantity,Total Value
1994,Nevada,West,25010000.0,126600000.0
1994,New Hampshire,Northeast,8510000.0,40070000.0
1994,New Jersey,Northeast,35900000.0,254000000.0
1994,New Mexico,West,13950000.0,67400000.0
1994,New York,Northeast,67400000.0,377000000.0
1994,North Carolina,South,65000000.0,401700000.0
1994,North Dakota,Midwest,6810000.0,18500000.0
1994,Ohio,Midwest,104100000.0,456000000.0
1994,Oklahoma,South,38380000.0,152200000.0
1994,Oregon,West,37300000.0,173700000.0
1994,Pennsylvania,Northeast,92600000.0,551700000.0
1994,Rhode Island,Northeast,3920000.0,26400000.0
1994,South Carolina,South,29100000.0,157100000.0
1994,South Dakota,Midwest,13190000.0,48200000.0
1994,Tennessee,South,57910000.0,303000000.0
1994,Texas,South,132800000.0,542000000.0
1994,Utah,West,25640000.0,89400000.0
1994,Vermont,Northeast,8060000.0,38200000.0
1994,Virginia,South,64760000.0,360400000.0
1994,Washington,West,54300000.0,256900000.0
1994,West Virginia,South,13680000.0,105270000.0
1994,Wisconsin,Midwest,57800000.0,206500000.0
1994,Wyoming,West,8250000.0,42800000.0
1995,Alabama,South,45600000.0,223700000.0
1995,Alaska,West,11350000.0,48300000.0
1995,Arizona,West,45620000.0,233600000.0
1995,Arkansas,South,37100000.0,217300000.0
1995,California,West,142100000.0,810000000.0
1995,Colorado,West,44000000.0,202500000.0
1995,Connecticut,Northeast,12480000.0,83000000.0
1995,Delaware,South,2680000.0,8740000.0
1995,Florida,South,87300000.0,419300000.0
1995,Georgia,South,66380000.0,396100000.0
1995,Hawaii,West,7855000.0,77530000.0
1995,Idaho,West,16410000.0,57500000.0
1995,Illinois,Midwest,97500000.0,482000000.0
1995,Indiana,Midwest,74100000.0,327900000.0
1995,Iowa,Midwest,49600000.0,267000000.0
1995,Kansas,Midwest,31500000.0,125200000.0
1995,Kentucky,South,63410000.0,261700000.0
1995,Louisiana,South,13840000.0,76900000.0
1995,Maine,Northeast,9530000.0,43000000.0
1995,Maryland,South,33900000.0,219700000.0
1995,Massachusetts,Northeast,22800000.0,164900000.0
1995,Michigan,Midwest,91000000.0,305000000.0
1995,Minnesota,Midwest,43200000.0,146800000.0
1995,Mississippi,South,13790000.0,61010000.0
1995,Missouri,Midwest,74540000.0,337400000.0
1995,Montana,West,11240000.0,44820000.0
1995,Nebraska,Midwest,20290000.0,88900000.0
1995,Nevada,West,24910000.0,131400000.0
1995,New Hampshire,Northeast,9340000.0,43450000.0
1995,New Jersey,Northeast,35000000.0,212300000.0
1995,New Mexico,West,14060000.0,69500000.0
1995,New York,Northeast,66800000.0,338000000.0
1995,North Carolina,South,67400000.0,434100000.0
1995,North Dakota,Midwest,8420000.0,23900000.0
1995,Ohio,Midwest,106200000.0,461000000.0
1995,Oklahoma,South,38900000.0,150100000.0
1995,Oregon,West,38900000.0,180700000.0
1995,Pennsylvania,Northeast,98000000.0,585100000.0
1995,Rhode Island,Northeast,4040000.0,30640000.0
1995,South Carolina,South,30880000.0,161000000.0
1995,South Dakota,Midwest,14150000.0,51900000.0
1995,Tennessee,South,60620000.0,322700000.0
1995,Texas,South,142200000.0,581000000.0
1995,Utah,West,27940000.0,95000000.0
1995,Vermont,Northeast,7640000.0,31700000.0
