Year,State Coverage,Region,Commodity,Quantity,Data Description,Total Value
2020,Maine,Northeast,"Aggregates, construction",8240000.0,Construction sand and gravel,70400000.0
2020,Maryland,South,"Aggregates, construction",5630000.0,Construction sand and gravel,80200000.0
2020,Massachusetts,Northeast,"Aggregates, construction",8140000.0,Construction sand and gravel,101000000.0
2020,Michigan,Midwest,"Aggregates, construction",42900000.0,Construction sand and gravel,306000000.0
2020,Minnesota,Midwest,"Aggregates, construction",48500000.0,Construction sand and gravel,247000000.0
2020,Mississippi,South,"Aggregates, construction",9680000.0,Construction sand and gravel,82200000.0
2020,Missouri,Midwest,"Aggregates, construction",8380000.0,Construction sand and gravel,68000000.0
2020,Montana,West,"Aggregates, construction",12700000.0,Construction sand and gravel,113000000.0
2020,Nebraska,Midwest,"Aggregates, construction",13600000.0,Construction sand and gravel,137000000.0
2020,Nevada,West,"Aggregates, construction",18700000.0,Construction sand and gravel,148000000.0
2020,New Hampshire,Northeast,"Aggregates, construction",7650000.0,Construction sand and gravel,67900000.0
2020,New Jersey,Northeast,"Aggregates, construction",12900000.0,Construction sand and gravel,101000000.0
2020,New Mexico,West,"Aggregates, construction",10600000.0,Construction sand and gravel,130000000.0
2020,New York,Northeast,"Aggregates, construction",28600000.0,Construction sand and gravel,316000000.0
2020,North Carolina,South,"Aggregates, construction",8170000.0,Construction sand and gravel,58100000.0
2020,North Dakota,Midwest,"Aggregates, construction",12200000.0,Construction sand and gravel,93800000.0
2020,Ohio,Midwest,"Aggregates, construction",31500000.0,Construction sand and gravel,310000000.0
2020,Oklahoma,South,"Aggregates, construction",10500000.0,Construction sand and gravel,93000000.0
2020,Oregon,West,"Aggregates, construction",15900000.0,Construction sand and gravel,198000000.0
2020,Pennsylvania,Northeast,"Aggregates, construction",10200000.0,Construction sand and gravel,109000000.0
2020,Rhode Island,Northeast,"Aggregates, construction",4050000.0,Construction sand and gravel,68200000.0
2020,South Carolina,South,"Aggregates, construction",8670000.0,Construction sand and gravel,58100000.0
2020,South Dakota,Midwest,"Aggregates, construction",12500000.0,Construction sand and gravel,69100000.0
2020,Tennessee,South,"Aggregates, construction",7200000.0,Construction sand and gravel,78700000.0
2020,Texas,South,"Aggregates, construction",94700000.0,Construction sand and gravel,938000000.0
2020,Utah,West,"Aggregates, construction",35400000.0,Construction sand and gravel,316000000.0
2020,Vermont,Northeast,"Aggregates, construction",5040000.0,Construction sand and gravel,40500000.0
2020,Virginia,South,"Aggregates, construction",7870000.0,Construction sand and gravel,107000000.0
2020,Washington,West,"Aggregates, construction",34300000.0,Construction sand and gravel,413000000.0
2020,West Virginia,South,"Aggregates, construction",100000.0,Construction sand and gravel,885000.0
2020,Wisconsin,Midwest,"Aggregates, construction",27300000.0,Construction sand and gravel,187000000.0
2020,Wyoming,West,"Aggregates, construction",13500000.0,Construction sand and gravel,125000000.0
2019,Alabama,South,"Aggregates, construction",14500000.0,Construction sand and gravel,136000000.0
2019,Alaska,West,"Aggregates, construction",6600000.0,Construction sand and gravel,56200000.0
2019,Arizona,West,"Aggregates, construction",48000000.0,Construction sand and gravel,507000000.0
2019,Arkansas,South,"Aggregates, construction",7100000.0,Construction sand and gravel,69500000.0
2019,California,West,"Aggregates, construction",100000000.0,Construction sand and gravel,1420000000.0
2019,Colorado,West,"Aggregates, construction",32400000.0,Construction sand and gravel,309000000.0
2019,Connecticut,Northeast,"Aggregates, construction",4810000.0,Construction sand and gravel,51000000.0
2019,Delaware,South,"Aggregates, construction",2650000.0,Construction sand and gravel,23500000.0
2019,Florida,South,"Aggregates, construction",22800000.0,Construction sand and gravel,288000000.0
2019,Georgia,South,"Aggregates, construction",6710000.0,Construction sand and gravel,50300000.0
2019,Hawaii,West,"Aggregates, construction",131000.0,Construction sand and gravel,4650000.0
2019,Idaho,West,"Aggregates, construction",20800000.0,Construction sand and gravel,158000000.0
2019,Illinois,Midwest,"Aggregates, construction",17900000.0,Construction sand and gravel,153000000.0
2019,Indiana,Midwest,"Aggregates, construction",17400000.0,Construction sand and gravel,166000000.0
2019,Iowa,Midwest,"Aggregates, construction",13600000.0,Construction sand and gravel,113000000.0
2019,Kansas,Midwest,"Aggregates, construction",9290000.0,Construction sand and gravel,63500000.0
2019,Kentucky,South,"Aggregates, construction",8250000.0,Construction sand and gravel,72500000.0
2019,Louisiana,South,"Aggregates, construction",12700000.0,Construction sand and gravel,173000000.0
2019,Maine,Northeast,"Aggregates, construction",8690000.0,Construction sand and gravel,69800000.0
2019,Maryland,South,"Aggregates, construction",6680000.0,Construction sand and gravel,93200000.0
2019,Massachusetts,Northeast,"Aggregates, construction",8820000.0,Construction sand and gravel,96000000.0
2019,Michigan,Midwest,"Aggregates, construction",45000000.0,Construction sand and gravel,277000000.0
2019,Minnesota,Midwest,"Aggregates, construction",46500000.0,Construction sand and gravel,235000000.0
2019,Mississippi,South,"Aggregates, construction",10700000.0,Construction sand and gravel,89300000.0
2019,Missouri,Midwest,"Aggregates, construction",8620000.0,Construction sand and gravel,66900000.0
2019,Montana,West,"Aggregates, construction",11000000.0,Construction sand and gravel,98600000.0
2019,Nebraska,Midwest,"Aggregates, construction",12900000.0,Construction sand and gravel,112000000.0
2019,Nevada,West,"Aggregates, construction",21000000.0,Construction sand and gravel,144000000.0
2019,New Hampshire,Northeast,"Aggregates, construction",7160000.0,Construction sand and gravel,68900000.0
2019,New Jersey,Northeast,"Aggregates, construction",13700000.0,Construction sand and gravel,107000000.0
2019,New Mexico,West,"Aggregates, construction",8320000.0,Construction sand and gravel,92200000.0
2019,New York,Northeast,"Aggregates, construction",29200000.0,Construction sand and gravel,340000000.0
2019,North Carolina,South,"Aggregates, construction",9540000.0,Construction sand and gravel,68500000.0
2019,North Dakota,Midwest,"Aggregates, construction",12200000.0,Construction sand and gravel,93500000.0
2019,Ohio,Midwest,"Aggregates, construction",30500000.0,Construction sand and gravel,286000000.0
2019,Oklahoma,South,"Aggregates, construction",11100000.0,Construction sand and gravel,92400000.0
2019,Oregon,West,"Aggregates, construction",17200000.0,Construction sand and gravel,201000000.0
2019,Pennsylvania,Northeast,"Aggregates, construction",10800000.0,Construction sand and gravel,112000000.0
2019,Rhode Island,Northeast,"Aggregates, construction",2830000.0,Construction sand and gravel,45700000.0
2019,South Carolina,South,"Aggregates, construction",9960000.0,Construction sand and gravel,63700000.0
2019,South Dakota,Midwest,"Aggregates, construction",10800000.0,Construction sand and gravel,53200000.0
2019,Tennessee,South,"Aggregates, construction",7800000.0,Construction sand and gravel,88800000.0
2019,Texas,South,"Aggregates, construction",93700000.0,Construction sand and gravel,929000000.0
2019,Utah,West,"Aggregates, construction",32100000.0,Construction sand and gravel,276000000.0
2019,Vermont,Northeast,"Aggregates, construction",5560000.0,Construction sand and gravel,43600000.0
2019,Virginia,South,"Aggregates, construction",8630000.0,Construction sand and gravel,117000000.0
2019,Washington,West,"Aggregates, construction",36300000.0,Construction sand and gravel,409000000.0
2019,West Virginia,South,"Aggregates, construction",84000.0,Construction sand and gravel,718000.0
2019,Wisconsin,Midwest,"Aggregates, construction",25600000.0,Construction sand and gravel,181000000.0
2019,Wyoming,West,"Aggregates, construction",12100000.0,Construction sand and gravel,107000000.0
2018,Alabama,South,"Aggregates, construction",14300000.0,Construction sand and gravel,132000000.0
2018,Alaska,West,"Aggregates, construction",7190000.0,Construction sand and gravel,57200000.0
2018,Arizona,West,"Aggregates, construction",48000000.0,Construction sand and gravel,481000000.0
2018,Arkansas,South,"Aggregates, construction",7120000.0,Construction sand and gravel,68300000.0
2018,California,West,"Aggregates, construction",104000000.0,Construction sand and gravel,1350000000.0
2018,Colorado,West,"Aggregates, construction",35100000.0,Construction sand and gravel,309000000.0
2018,Connecticut,Northeast,"Aggregates, construction",4610000.0,Construction sand and gravel,45200000.0
2018,Delaware,South,"Aggregates, construction",2680000.0,Construction sand and gravel,21000000.0
2018,Florida,South,"Aggregates, construction",22900000.0,Construction sand and gravel,255000000.0
2018,Georgia,South,"Aggregates, construction",6240000.0,Construction sand and gravel,43300000.0
2018,Hawaii,West,"Aggregates, construction",120000.0,Construction sand and gravel,4050000.0
2018,Idaho,West,"Aggregates, construction",18800000.0,Construction sand and gravel,120000000.0
2018,Illinois,Midwest,"Aggregates, construction",19200000.0,Construction sand and gravel,137000000.0
2018,Indiana,Midwest,"Aggregates, construction",17300000.0,Construction sand and gravel,143000000.0
2018,Iowa,Midwest,"Aggregates, construction",13500000.0,Construction sand and gravel,116000000.0
2018,Kansas,Midwest,"Aggregates, construction",8610000.0,Construction sand and gravel,60600000.0
2018,Kentucky,South,"Aggregates, construction",8800000.0,Construction sand and gravel,45400000.0
2018,Louisiana,South,"Aggregates, construction",13200000.0,Construction sand and gravel,142000000.0
2018,Maine,Northeast,"Aggregates, construction",8000000.0,Construction sand and gravel,61300000.0
2018,Maryland,South,"Aggregates, construction",7850000.0,Construction sand and gravel,110000000.0
2018,Massachusetts,Northeast,"Aggregates, construction",9160000.0,Construction sand and gravel,87800000.0
2018,Michigan,Midwest,"Aggregates, construction",44200000.0,Construction sand and gravel,289000000.0
2018,Minnesota,Midwest,"Aggregates, construction",42700000.0,Construction sand and gravel,213000000.0
2018,Mississippi,South,"Aggregates, construction",11400000.0,Construction sand and gravel,98400000.0
2018,Missouri,Midwest,"Aggregates, construction",10700000.0,Construction sand and gravel,86900000.0
2018,Montana,West,"Aggregates, construction",11000000.0,Construction sand and gravel,89800000.0
2018,Nebraska,Midwest,"Aggregates, construction",10300000.0,Construction sand and gravel,80500000.0
2018,Nevada,West,"Aggregates, construction",20000000.0,Construction sand and gravel,125000000.0
2018,New Hampshire,Northeast,"Aggregates, construction",7240000.0,Construction sand and gravel,58300000.0
2018,New Jersey,Northeast,"Aggregates, construction",13800000.0,Construction sand and gravel,111000000.0
2018,New Mexico,West,"Aggregates, construction",8960000.0,Construction sand and gravel,94700000.0
2018,New York,Northeast,"Aggregates, construction",28400000.0,Construction sand and gravel,316000000.0
2018,North Carolina,South,"Aggregates, construction",9240000.0,Construction sand and gravel,60900000.0
2018,North Dakota,Midwest,"Aggregates, construction",12900000.0,Construction sand and gravel,105000000.0
2018,Ohio,Midwest,"Aggregates, construction",31200000.0,Construction sand and gravel,280000000.0
2018,Oklahoma,South,"Aggregates, construction",8850000.0,Construction sand and gravel,79200000.0
2018,Oregon,West,"Aggregates, construction",16400000.0,Construction sand and gravel,174000000.0
2018,Pennsylvania,Northeast,"Aggregates, construction",9730000.0,Construction sand and gravel,92400000.0
2018,Rhode Island,Northeast,"Aggregates, construction",3000000.0,Construction sand and gravel,39900000.0
2018,South Carolina,South,"Aggregates, construction",9720000.0,Construction sand and gravel,57700000.0
2018,South Dakota,Midwest,"Aggregates, construction",11100000.0,Construction sand and gravel,47400000.0
2018,Tennessee,South,"Aggregates, construction",8010000.0,Construction sand and gravel,64900000.0
2018,Texas,South,"Aggregates, construction",90000000.0,Construction sand and gravel,974000000.0
2018,Utah,West,"Aggregates, construction",32200000.0,Construction sand and gravel,250000000.0
2018,Vermont,Northeast,"Aggregates, construction",5380000.0,Construction sand and gravel,38600000.0
2018,Virginia,South,"Aggregates, construction",8410000.0,Construction sand and gravel,105000000.0
2018,Washington,West,"Aggregates, construction",36700000.0,Construction sand and gravel,384000000.0
2018,West Virginia,South,"Aggregates, construction",530000.0,Construction sand and gravel,4500000.0
2018,Wisconsin,Midwest,"Aggregates, construction",26900000.0,Construction sand and gravel,190000000.0
2018,Wyoming,West,"Aggregates, construction",9870000.0,Construction sand and gravel,95600000.0
2017,Alabama,South,"Aggregates, construction",13000000.0,Construction sand and gravel,108000000.0
2017,Alaska,West,"Aggregates, construction",5240000.0,Construction sand and gravel,44900000.0
2017,Arizona,West,"Aggregates, construction",42100000.0,Construction sand and gravel,399000000.0
2017,Arkansas,South,"Aggregates, construction",7940000.0,Construction sand and gravel,75200000.0
2017,California,West,"Aggregates, construction",100000000.0,Construction sand and gravel,1280000000.0
2017,Colorado,West,"Aggregates, construction",34300000.0,Construction sand and gravel,286000000.0
2017,Connecticut,Northeast,"Aggregates, construction",4810000.0,Construction sand and gravel,46900000.0
2017,Delaware,South,"Aggregates, construction",2560000.0,Construction sand and gravel,21800000.0
2017,Florida,South,"Aggregates, construction",20200000.0,Construction sand and gravel,228000000.0
2017,Georgia,South,"Aggregates, construction",5730000.0,Construction sand and gravel,40700000.0
2017,Hawaii,West,"Aggregates, construction",173000.0,Construction sand and gravel,5340000.0
2017,Idaho,West,"Aggregates, construction",16400000.0,Construction sand and gravel,97700000.0
2017,Illinois,Midwest,"Aggregates, construction",21500000.0,Construction sand and gravel,152000000.0
2017,Indiana,Midwest,"Aggregates, construction",17200000.0,Construction sand and gravel,127000000.0
2017,Iowa,Midwest,"Aggregates, construction",13800000.0,Construction sand and gravel,112000000.0
2017,Kansas,Midwest,"Aggregates, construction",9800000.0,Construction sand and gravel,60500000.0
2017,Kentucky,South,"Aggregates, construction",7950000.0,Construction sand and gravel,38100000.0
2017,Louisiana,South,"Aggregates, construction",15200000.0,Construction sand and gravel,170000000.0
