Mine ID,Mine Name,Commodity,Mine Status,Status Date,Type of Mine
0102157,Argo Pit,Construction Sand and Gravel,Abandoned,5/12/1980,Surface
0102168,Ballplay,Construction Sand and Gravel,Abandoned,10/30/1996,Surface
0102171,OXFORD CRUSHER,Construction Sand and Gravel,Abandoned,11/3/1998,Facility
0102179,Parker Pit,Construction Sand and Gravel,Abandoned,8/1/1980,Surface
0102195,Smith Pit,Construction Sand and Gravel,Abandoned,5/25/1989,Surface
0102196,CHATTAHOOCHEE PIT,Construction Sand and Gravel,Abandoned,10/22/2007,Surface
0102199,Jackson Pit No 2,Construction Sand and Gravel,Abandoned,7/8/1981,Surface
0102200,Robison Mine & Mill,Construction Sand and Gravel,Abandoned,9/6/2023,Surface
0102203,Lenox No 1,Construction Sand and Gravel,Abandoned,11/17/1980,Surface
0102204,Ivey Pit,Construction Sand and Gravel,Abandoned,1/17/1986,Surface
0102209,Chapman Pit,Construction Sand and Gravel,Abandoned,6/30/1990,Surface
0102238,Plantersville Pit,Construction Sand and Gravel,Abandoned,6/9/1995,Surface
0102239,NICHOLS PLANT,Construction Sand and Gravel,Abandoned,11/18/1996,Surface
0102247,Riverside Materials,Construction Sand and Gravel,Abandoned,11/22/1982,Surface
0102256,Bragan Pit,Construction Sand and Gravel,Abandoned,10/26/1981,Surface
0102262,Wallace Pit,Construction Sand and Gravel,Abandoned,9/8/1982,Surface
0102283,Pit No 3,Construction Sand and Gravel,Abandoned,1/28/1985,Surface
0102289,Crawford Pit,Construction Sand and Gravel,Abandoned,11/11/1981,Surface
0102291,Jacop Pit,Construction Sand and Gravel,Abandoned,4/2/1984,Surface
0102314,Shine Pit,Construction Sand and Gravel,Abandoned,12/7/1984,Surface
0102325,White Chert Pit,Construction Sand and Gravel,Abandoned,6/1/1993,Surface
0102326,Selma Plant #2,Construction Sand and Gravel,Abandoned,12/7/1984,Surface
0102340,Pit No 4,Construction Sand and Gravel,Abandoned,7/27/1987,Surface
0102342,Beasley Pit,Construction Sand and Gravel,Abandoned,8/30/1985,Surface
0102356,Gulf States Crusher,Construction Sand and Gravel,Abandoned,10/21/1982,Surface
0102358,Calera Plant,Construction Sand and Gravel,Abandoned,10/11/1988,Surface
0102366,Bunn Plant Or Plant Operation,Construction Sand and Gravel,Abandoned,6/3/1985,Surface
0102367,Couch Pit,Construction Sand and Gravel,Abandoned,8/31/1982,Surface
0102376,St Regis Pit,Construction Sand and Gravel,Abandoned,1/26/1996,Surface
0102387,Sharpe No 1,Construction Sand and Gravel,Abandoned,10/19/1984,Surface
0102396,Shorter Plant,Construction Sand and Gravel,Abandoned,6/25/1990,Surface
0102398,Beers Pit,Construction Sand and Gravel,Abandoned,12/5/1994,Surface
0102503,Tooson Pit,Construction Sand and Gravel,Abandoned,9/21/1989,Surface
0102504,Pit No 1,Construction Sand and Gravel,Abandoned,7/15/1987,Surface
0102507,MIMS PIT,Construction Sand and Gravel,Abandoned,6/19/1987,Surface
0102516,Dees Pit,Construction Sand and Gravel,Abandoned,11/18/1982,Surface
0102522,Odom Pit,Construction Sand and Gravel,Abandoned,6/30/1987,Surface
0102524,Parker No 2,Construction Sand and Gravel,Abandoned,6/1/1987,Surface
0102525,Bromley Pit,Construction Sand and Gravel,Abandoned,6/15/1987,Surface
0102526,Stacy Pit,Construction Sand and Gravel,Abandoned,6/15/1987,Surface
0102528,CHAMPION PIT #2,Construction Sand and Gravel,Abandoned,2/3/2000,Surface
0102529,Atmore Sand and Gravel,Construction Sand and Gravel,Abandoned,1/25/2013,Surface
0102530,LENOX PIT,Construction Sand and Gravel,Abandoned,11/13/1996,Surface
0102531,Weekly Pit,Construction Sand and Gravel,Abandoned,4/2/1984,Surface
0102535,SIMS PIT,Construction Sand and Gravel,Abandoned,7/22/1998,Surface
0102541,Jackson Pit,Construction Sand and Gravel,Abandoned,3/25/1985,Surface
0102542,Nalls Pit,Construction Sand and Gravel,Abandoned,8/26/1985,Surface
0102546,Melton Pit,Construction Sand and Gravel,Abandoned,7/1/1986,Surface
0102547,Montgomery Asphalt Plant,Construction Sand and Gravel,Abandoned,4/27/1987,Surface
0102557,Miller Pit,Construction Sand and Gravel,Abandoned,6/2/1986,Surface
0102562,Franklin Pit,Construction Sand and Gravel,Abandoned,5/12/1994,Surface
0102563,Winfield Yard,Construction Sand and Gravel,Abandoned,1/6/2014,Surface
0102571,Baker Pit,Construction Sand and Gravel,Abandoned,5/18/1987,Surface
0102573,Coastal Asphalt & Construction Incorpora,Construction Sand and Gravel,Abandoned,9/21/1988,Surface
0102581,Beers Pit No 2,Construction Sand and Gravel,Abandoned,11/6/1990,Surface
0102587,Scott Callen Sand & Gravel,Construction Sand and Gravel,Abandoned,3/27/2012,Surface
0102597,Slay Pit,Construction Sand and Gravel,Abandoned,8/22/1988,Surface
0102599,Selma Plant,Construction Sand and Gravel,Abandoned,11/27/1989,Surface
0102603,Temerson Pit,Construction Sand and Gravel,Abandoned,7/22/1986,Surface
0102606,COGLE PIT,Construction Sand and Gravel,Active,11/9/1989,Surface
0102642,BRADFORD GRAVEL PIT,Construction Sand and Gravel,Abandoned,5/13/2004,Surface
0102643,Goodway Pit,Construction Sand and Gravel,Abandoned,2/3/1986,Facility
0102646,MCLEMORE PIT,Construction Sand and Gravel,Abandoned,11/8/1996,Surface
0102655,Macon Quarters Pit,Construction Sand and Gravel,Abandoned,3/30/1990,Surface
0102661,Cherry Hill,Construction Sand and Gravel,Abandoned,5/30/1986,Surface
0102664,Mc Duffie Island Sand & Gravel,Construction Sand and Gravel,Abandoned,4/15/1993,Facility
0102668,ALICEVILLE PIT,Construction Sand and Gravel,Abandoned,9/5/2002,Surface
0102669,Howton,Construction Sand and Gravel,Abandoned,4/19/1996,Surface
0102676,Thomas,Construction Sand and Gravel,Abandoned,8/26/1986,Surface
0102677,Pinkston,Construction Sand and Gravel,Abandoned,4/27/1987,Surface
0102680,Zimmerman Pit,Construction Sand and Gravel,Abandoned,7/28/1987,Surface
0102681,Century Gravel,Construction Sand and Gravel,Abandoned,3/3/1994,Surface
0102688,Wisener,Construction Sand and Gravel,Abandoned,5/25/1994,Surface
0102691,Abrasive Products Mobile Plant,Construction Sand and Gravel,Abandoned,3/31/1995,Facility
0102694,Selma,Construction Sand and Gravel,Abandoned,7/22/1991,Surface
0102696,Pit #1,Construction Sand and Gravel,Abandoned,9/11/1992,Surface
0102701,Doe Run Pit,Construction Sand and Gravel,Abandoned,8/2/1991,Surface
0102703,Lenox Pit,Construction Sand and Gravel,Abandoned,1/26/1996,Surface
0102705,Huntsville Sand & Lime,Construction Sand and Gravel,Abandoned,3/15/1993,Surface
0102712,Pit No 1,Construction Sand and Gravel,Abandoned,1/12/1993,Surface
0102718,Brewton Sand & Gravel Incorporated,Construction Sand and Gravel,Abandoned,1/10/1994,Surface
0102722,Greer Sand And Gravel,Construction Sand and Gravel,Abandoned,6/25/1990,Surface
0102733,H & H Sand And Gravel,Construction Sand and Gravel,Abandoned,7/31/1987,Surface
0102735,Mosley Pit,Construction Sand and Gravel,Abandoned,4/10/1989,Surface
0102738,West Alabama Sand & Gravel,Construction Sand and Gravel,Active,8/25/1987,Surface
0102739,Linden Pit,Construction Sand and Gravel,Abandoned,4/3/1989,Surface
0102741,Rowland Gravel Pit,Construction Sand and Gravel,Abandoned,5/15/1989,Surface
0102742,Lenox Pit,Construction Sand and Gravel,Abandoned,5/10/1988,Surface
0102747,SHAVER SAND AND GRAVEL PIT,Construction Sand and Gravel,Abandoned,1/1/1997,Surface
0102749,Mc Millan Pit,Construction Sand and Gravel,Abandoned,5/10/1988,Surface
0102750,Wiggins Pit,Construction Sand and Gravel,Abandoned,4/17/1989,Surface
0102751,J E Bradford Pit,Construction Sand and Gravel,Abandoned,3/31/1993,Surface
0102752,Brown Pit,Construction Sand and Gravel,Abandoned,12/20/1989,Surface
0102754,Black Widow Resources,Construction Sand and Gravel,Abandoned,6/30/1988,Surface
0102757,Plaster Mine,Construction Sand and Gravel,Abandoned,5/20/2020,Surface
0102758,Dozier Pit,Construction Sand and Gravel,Abandoned,8/24/1994,Surface
0102762,SELDEN PIT,Construction Sand and Gravel,Abandoned,6/23/1998,Surface
0102784,Reeder Pit,Construction Sand and Gravel,Abandoned,8/15/1989,Surface
0102789,EDSU PIT,Construction Sand and Gravel,Abandoned,2/5/2001,Surface
0102793,MONTGOMERY CRUSHER,Construction Sand and Gravel,Abandoned,2/11/2000,Surface
0102794,Boe Road Pit,Construction Sand and Gravel,Abandoned,10/4/2021,Surface
0102795,Pit #1,Construction Sand and Gravel,Abandoned,4/13/1993,Surface
0102796,Clarke Pit,Construction Sand and Gravel,Abandoned,10/7/1995,Surface
0102803,Jackson Creek,Construction Sand and Gravel,Abandoned,2/13/1990,Surface
0102804,HUNTSVILLE GRAVEL CO.,Construction Sand and Gravel,Abandoned,9/30/2002,Facility
0102805,Pit #1,Construction Sand and Gravel,Abandoned,10/10/1990,Surface
0102810,OAKMULGEE  CRUSHER,Construction Sand and Gravel,Active,7/22/2024,Surface
0102814,Phenix City Mine,Construction Sand and Gravel,Active,2/7/2025,Surface
0102822,P & R Mining,Construction Sand and Gravel,Active,8/2/2006,Surface
0102825,GOODWAY,Construction Sand and Gravel,Abandoned,2/20/2002,Surface
0102826,Friese (Frisco City),Construction Sand and Gravel,Abandoned,3/29/1991,Surface
0102827,Bloedel,Construction Sand and Gravel,Abandoned,6/21/1990,Surface
0102828,PLANT 333,Construction Sand and Gravel,Abandoned,5/7/1999,Facility
0102832,Three Bridge Bottom Mine,Construction Sand and Gravel,Abandoned,7/15/1992,Surface
0102834,POWELL-1,Construction Sand and Gravel,Abandoned,10/19/1999,Surface
0102840,Flint River Mine,Construction Sand and Gravel,Abandoned,4/2/1992,Surface
0102843,431 Sand & Gravel Pit,Construction Sand and Gravel,Abandoned,6/1/1990,Surface
0102852,Shorter Plant,Construction Sand and Gravel,Abandoned,3/1/2012,Surface
0102865,Tysonville Plant,Construction Sand and Gravel,Active,10/12/2021,Surface
0102869,Arbacoochee Mining,Construction Sand and Gravel,Abandoned,2/20/1992,Surface
0102870,Pit #2,Construction Sand and Gravel,Abandoned,9/7/2017,Surface
0102883,Dawson Pit,Construction Sand and Gravel,Active,3/25/2024,Surface
0102884,Alabama Pits,Construction Sand and Gravel,Abandoned,10/20/1995,Surface
0102887,RUSSELL SAND CO.,Construction Sand and Gravel,Abandoned,3/1/2001,Surface
